stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:41:10005:0:1","Sieggraben Gemeindeamt","47.65014780","16.37928800","1050","","","Level 0","1"
"at:41:10005:0:2","Sieggraben Gemeindeamt","47.64999046","16.37942275","1050","","","Level 0","2"
"at:41:10018:0:1","Antau Kleine Zeile","47.77457048","16.47520113","1051","","","Level 0","1"
"at:41:10018:0:2","Antau Kleine Zeile","47.77443766","16.47536282","1051","","","Level 0","2"
"at:41:10019:0:1","Stöttera Ost","47.77004848","16.46449321","1051","","","Level 0","1"
"at:41:10019:0:2","Stöttera Ost","47.76984320","16.46435846","1051","","","Level 0","2"
"at:41:10020:0:1","Zemendorf Volksschule","47.76544155","16.45445903","1051","","","Level 0","1"
"at:41:10020:0:2","Zemendorf Volksschule","47.76535098","16.45458479","1051","","","Level 0","2"
"at:41:10021:0:1","Zemendorf Wr. Neustädter Str.","47.76253106","16.45128797","1051","","","Level 0","1"
"at:41:10021:0:2","Zemendorf Wr. Neustädter Str.","47.76236199","16.45177306","1051","","","Level 0","2"
"at:41:10022:0:1","Zemendorf Schmale Gasse","47.76003710","16.44806302","1051","","","Level 0","1"
"at:41:10022:0:2","Zemendorf Schmale Gasse","47.75978347","16.44783844","1051","","","Level 0","2"
"at:41:10024:0:1","Pöttelsdorf Gemeindeamt","47.75304973","16.43695086","1051","","","Level 0","1"
"at:41:10024:0:2","Pöttelsdorf Gemeindeamt","47.75292289","16.43690594","1051","","","Level 0","2"
"at:41:10025:0:1","Pöttelsdorf Mühlweg","47.75044054","16.43119266","1051","","","Level 0","1"
"at:41:10025:0:2","Pöttelsdorf Mühlweg","47.75039826","16.43134537","1051","","","Level 0","2"
"at:41:10026:0:1","Walbersdorf Kirchäckergasse","47.74346397","16.42098780","1046","","","Level 0","1"
"at:41:10026:0:2","Walbersdorf Kirchäckergasse","47.74349417","16.42117644","1046","","","Level 0","2"
"at:41:10027:0:1","Walbersdorf Kirche","47.74160943","16.41982897","1046","","","Level 0","1"
"at:41:10027:0:2","Walbersdorf Kirche","47.74059454","16.41956846","1046","","","Level 0","2"
"at:41:10031:0:1","Mattersburg Martinsplatz","47.73728393","16.39700278","1046","","","Level 0","1"
"at:41:10031:0:2","Mattersburg Martinsplatz","47.73771287","16.39620328","1046","","","Level 0","2"
"at:41:10031:0:3","Mattersburg Martinsplatz","47.73777933","16.39638294","1046","","","Level 0","3"
"at:41:10032:0:1","Mattersburg Brunnenplatz","47.73791224","16.40007502","1046","","","Level 0","1"
"at:41:10054:0:1","Mattersburg Berufsschule","47.73678853","16.40480914","1046","","","Level 0","1"
"at:41:10054:0:2","Mattersburg Berufsschule","47.73693352","16.40445880","1046","","","Level 0","2"
"at:41:10055:0:1","Mattersburg Felixstraße","47.73357435","16.40994750","1046","","","Level 0","1"
"at:41:10055:0:2","Mattersburg Felixstraße","47.73433562","16.40949835","1046","","","Level 0","2"
"at:41:10056:0:1","Marz Industriestraße","47.72536279","16.41222922","1046","","","Level 0","1"
"at:41:10056:0:2","Marz Industriestraße","47.72489749","16.41255262","1046","","","Level 0","2"
"at:41:10057:0:1","Marz Ortsmitte","47.71896303","16.41688250","1046","","","Level 0","1"
"at:41:10057:0:2","Marz Ortsmitte","47.71865481","16.41705318","1046","","","Level 0","2"
"at:41:10057:0:3","Marz Ortsmitte","47.71910204","16.41734962","1046","","","Level 0","3"
"at:41:10057:0:4","Marz Ortsmitte","47.71925312","16.41709809","1046","","","Level 0","4"
"at:41:10058:0:1","Marz Forchtensteinweg","47.71484720","16.41001039","1046","","","Level 0","1"
"at:41:10058:0:2","Marz Forchtensteinweg","47.71478676","16.41009123","1046","","","Level 0","2"
"at:41:10059:0:1","Marz B50/Lehrnertal","47.69717139","16.39561937","1046","","","Level 0","1"
"at:41:10059:0:2","Marz B50/Lehrnertal","47.69668165","16.39584395","1046","","","Level 0","2"
"at:41:10063:0:1","Kalkgruben Ortsmitte","47.62140713","16.39576310","1090","","","Level 0","1"
"at:41:10063:0:2","Kalkgruben Ortsmitte","47.62068054","16.39673329","1090","","","Level 0","2"
"at:41:10064:0:1","Kalkgruben B50 Süd","47.61724120","16.39841313","1090","","","Level 0","1"
"at:41:10064:0:2","Kalkgruben B50 Süd","47.61741075","16.39842212","1090","","","Level 0","2"
"at:41:10065:0:1","Tschurndorf Ortsmitte","47.60415998","16.40736934","1090","","","Level 0","1"
"at:41:10065:0:2","Tschurndorf Ortsmitte","47.60459001","16.40743222","1090","","","Level 0","2"
